Variable Name,Variable Description,Data File Name,Data File Description,Begin Year,EndYear,Component,Use Constraints
BPAARM,Arm selected:,BPX_D,Blood Pressure,2005,2006,Examination,None
BPACSZ,Cuff size (cm) (width X length),BPX_D,Blood Pressure,2005,2006,Examination,None
BPAEN1,Enhancement used first reading,BPX_D,Blood Pressure,2005,2006,Examination,None
BPAEN2,Enhancement used second reading,BPX_D,Blood Pressure,2005,2006,Examination,None
BPAEN3,Enhancement used third reading,BPX_D,Blood Pressure,2005,2006,Examination,None
BPAEN4,Enhancement used fourth reading,BPX_D,Blood Pressure,2005,2006,Examination,None
BPQ150A,Have you had any of the following in the past 30 minutes?:  Food,BPX_D,Blood Pressure,2005,2006,Examination,None
BPQ150B,Have you had any of the following in the past 30 minutes?:  Alcohol,BPX_D,Blood Pressure,2005,2006,Examination,None
BPQ150C,Have you had any of the following in the past 30 minutes?:  Coffee,BPX_D,Blood Pressure,2005,2006,Examination,None
BPQ150D,Have you had any of the following in the past 30 minutes?:  Cigarettes,BPX_D,Blood Pressure,2005,2006,Examination,None
BPXCHR,60 sec HR (30 sec HR * 2),BPX_D,Blood Pressure,2005,2006,Examination,None
BPXDB,# of dropped beats in 30 seconds,BPX_D,Blood Pressure,2005,2006,Examination,None
BPXDI1,Diastolic:  Blood pressure (first reading) mm Hg,BPX_D,Blood Pressure,2005,2006,Examination,None
BPXDI2,Diastolic: Blood pressure (second reading) mm Hg,BPX_D,Blood Pressure,2005,2006,Examination,None
BPXDI3,Diastolic: Blood pressure (third reading) mm Hg,BPX_D,Blood Pressure,2005,2006,Examination,None
BPXDI4,Diastolic:  Blood pressure (fourth reading if necessary) mm Hg,BPX_D,Blood Pressure,2005,2006,Examination,None
BPXML1,MIL: maximum inflation levels (mm Hg),BPX_D,Blood Pressure,2005,2006,Examination,None
BPXPLS,60 sec. pulse (30 sec. pulse * 2):,BPX_D,Blood Pressure,2005,2006,Examination,None
BPXPTY,Pulse type:,BPX_D,Blood Pressure,2005,2006,Examination,None
BPXPULS,Pulse regular or irregular?,BPX_D,Blood Pressure,2005,2006,Examination,None
BPXSY1,Systolic:  Blood pressure (first reading) mm Hg,BPX_D,Blood Pressure,2005,2006,Examination,None
BPXSY2,Systolic:  Blood pressure (second reading) mm Hg,BPX_D,Blood Pressure,2005,2006,Examination,None
BPXSY3,Systolic:  Blood pressure (third reading) mm Hg,BPX_D,Blood Pressure,2005,2006,Examination,None
BPXSY4,Systolic:  Blood pressure (fourth reading if necessary) mm Hg,BPX_D,Blood Pressure,2005,2006,Examination,None
PEASCCT1,Blood Pressure Comment,BPX_D,Blood Pressure,2005,2006,Examination,None
PEASCST1,Blood Pressure Status,BPX_D,Blood Pressure,2005,2006,Examination,None
PEASCTM1,Blood Pressure Time in Seconds,BPX_D,Blood Pressure,2005,2006,Examination,None
SEQN,Respondent sequence number.,BPX_D,Blood Pressure,2005,2006,Examination,None
BMDSTATS,Body Measures Component status Code,BMX_D,Body Measures,2005,2006,Examination,None
BMIARMC,Arm Circumference Comment,BMX_D,Body Measures,2005,2006,Examination,None
BMIARML,Upper Arm Length Comment,BMX_D,Body Measures,2005,2006,Examination,None
BMICALF,Maximal Calf Comment,BMX_D,Body Measures,2005,2006,Examination,None
BMIHEAD,Head Circumference Comment,BMX_D,Body Measures,2005,2006,Examination,None
BMIHT,Standing Height Comment,BMX_D,Body Measures,2005,2006,Examination,None
BMILEG,Upper Leg Length Comment,BMX_D,Body Measures,2005,2006,Examination,None
BMIRECUM,Recumbent Length Comment,BMX_D,Body Measures,2005,2006,Examination,None
BMISUB,Subscapular Skinfold Comment,BMX_D,Body Measures,2005,2006,Examination,None
BMITHICR,Thigh Circumference Comment,BMX_D,Body Measures,2005,2006,Examination,None
BMITRI,Triceps Skinfold Comment,BMX_D,Body Measures,2005,2006,Examination,None
BMIWAIST,Waist Circumference Comment,BMX_D,Body Measures,2005,2006,Examination,None
BMIWT,Weight Comment,BMX_D,Body Measures,2005,2006,Examination,None
BMXARMC,Arm Circumference (cm),BMX_D,Body Measures,2005,2006,Examination,None
BMXARML,Upper Arm Length (cm),BMX_D,Body Measures,2005,2006,Examination,None
BMXBMI,Body Mass Index (kg/m**2),BMX_D,Body Measures,2005,2006,Examination,None
BMXCALF,Maximal Calf Circumference (cm),BMX_D,Body Measures,2005,2006,Examination,None
BMXHEAD,Head Circumference (cm),BMX_D,Body Measures,2005,2006,Examination,None
BMXHT,Standing Height (cm),BMX_D,Body Measures,2005,2006,Examination,None
BMXLEG,Upper Leg Length (cm),BMX_D,Body Measures,2005,2006,Examination,None
BMXRECUM,Recumbent Length (cm),BMX_D,Body Measures,2005,2006,Examination,None
BMXSUB,Subscapular Skinfold (mm),BMX_D,Body Measures,2005,2006,Examination,None
BMXTHICR,Thigh Circumference (cm),BMX_D,Body Measures,2005,2006,Examination,None
BMXTRI,Triceps Skinfold (mm),BMX_D,Body Measures,2005,2006,Examination,None
BMXWAIST,Waist Circumference (cm),BMX_D,Body Measures,2005,2006,Examination,None
BMXWT,Weight (kg),BMX_D,Body Measures,2005,2006,Examination,None
SEQN,Respondent sequence number.,BMX_D,Body Measures,2005,2006,Examination,None
SEQN,Respondent sequence number,VIX_E,Vision,2007,2008,Examination,None
VIDLOVA,The visual acuity with objective refraction of the left eye.,VIX_E,Vision,2007,2008,Examination,None
VIDLVA,The presenting visual acuity of the left eye with usual correction.,VIX_E,Vision,2007,2008,Examination,None
VIDOLFM,The confidence level of the objective refraction reading of the left eye (mean of three measures).,VIX_E,Vision,2007,2008,Examination,None
VIDORFM,The confidence level of the objective refraction reading for the right eye (mean of three measures).,VIX_E,Vision,2007,2008,Examination,None
VIDROVA,The visual acuity with objective refraction of the right eye.,VIX_E,Vision,2007,2008,Examination,None
VIDRVA,The presenting visual acuity of the right eye with usual correction.,VIX_E,Vision,2007,2008,Examination,None
VIQ110,Does SP appear to have a severe eye infection in one or both eyes?,VIX_E,Vision,2007,2008,Examination,None
VIQ121,"if VIQ110 = ""Yes"" record which eye(s) is/are affected.",VIX_E,Vision,2007,2008,Examination,None
VIQ130,Is SP wearing an eye patch?,VIX_E,Vision,2007,2008,Examination,None
VIQ141,"If VIQ130 = ""Yes"" record which eye(s) is/are affected.",VIX_E,Vision,2007,2008,Examination,None
VIQ150,Do you wear glasses or contact lenses for reading or near work?,VIX_E,Vision,2007,2008,Examination,None
VIQ160,"If VIQ150 = ""Yes"", record if the examinee brought their near work glasses, contacts, or a combination of glasses and/or contacts to the testing facility.",VIX_E,Vision,2007,2008,Examination,None
VIQ170,"If VIQ160 = ""Yes"", record whether the examinee wore glasses, contacts, or a combination of glasses and/or contacts for test of near vision.",VIX_E,Vision,2007,2008,Examination,None
VIQ180,Have you ever had eye surgery to treat or prevent nearsightedness or myopia?,VIX_E,Vision,2007,2008,Examination,None
VIQ191,"If VIQ180 = ""Yes"", record which eye(s) was/were operated on.",VIX_E,Vision,2007,2008,Examination,None
VIQ200,Have you ever had eye surgery to treat cataracts?,VIX_E,Vision,2007,2008,Examination,None
VIQ211,"if VIQ200 = ""Yes"", record which eye(s) was/were operated on for cataracts.",VIX_E,Vision,2007,2008,Examination,None
VIQ220,"Do you wear glasses or contact lenses for distance vision, such as when you watch television?",VIX_E,Vision,2007,2008,Examination,None
VIQ230,"If VIQ220 = ""Yes"", record if  examinee brought their distance correction to the testing center.",VIX_E,Vision,2007,2008,Examination,None
VIQ240,"If VIQ230 = ""Yes"", record the type of correction (glasses, contacts, or a combination of glasses and contacts) the SP has with them.",VIX_E,Vision,2007,2008,Examination,None
VIQ250,Did the examiner capture the prescription of the examinee's lens?,VIX_E,Vision,2007,2008,Examination,None
VIXKLCD,Keratometric measure.  Difference in dioptric power between meridians of the cornea in the examinee's left eye.,VIX_E,Vision,2007,2008,Examination,None
VIXKLCG,Keratometric measure.  Axis of corneal astigmatism (in degrees) in the steepest meridian of the cornea in the examinee's left eye.,VIX_E,Vision,2007,2008,Examination,None
VIXKLD1,Keratometric measure. Dioptric power in the least power meridian of the cornea in the examinee's left eye (median of three measures).,VIX_E,Vision,2007,2008,Examination,None
VIXKLD2,Keratometric measure. Dioptric power in the meridian of the cornea with the greatest power in the examinee's left eye (median of three measures).,VIX_E,Vision,2007,2008,Examination,None
VIXKLDM,Keratometric measure. Dioptric power of the cornea averaged across meridians in the examinee's left eye.,VIX_E,Vision,2007,2008,Examination,None
VIXKLG1,Keratometric measure.  Axis of corneal astigmatism (in degrees) in the least power median of the examinee's left eye.,VIX_E,Vision,2007,2008,Examination,None
VIXKLG2,Keratometric measure.  Axis of corneal astigmatism (in degrees) in the greatest power meridian of the examinee's left eye.,VIX_E,Vision,2007,2008,Examination,None
VIXKLM1,Keratometric measure. Radius of corneal curvature (in mm) in the least power meridian of the examinee's left eye (median of three measures).,VIX_E,Vision,2007,2008,Examination,None
VIXKLM2,Keratometric measure. Radius of corneal curvature (in mm) in the greatest power meridian of the examinee's left eye (median of three measures).,VIX_E,Vision,2007,2008,Examination,None
VIXKLMM,Keratometric measure.  Radius of corneal curvature (in mm) averaged across meridians in the examinee's left eye.,VIX_E,Vision,2007,2008,Examination,None
VIXKRCD,Keratometric measure.  Difference in dioptric power between meridians of the cornea in the examinee's right eye,VIX_E,Vision,2007,2008,Examination,None
VIXKRCG,Keratometric measure.  Axis of corneal astigmatism (in degrees) in the steepest meridian of the cornea in the examinee's right eye.,VIX_E,Vision,2007,2008,Examination,None
VIXKRD1,Keratometric measure. Dioptric power in the least power meridian of the cornea in the examinee's right eye (median of three measures).,VIX_E,Vision,2007,2008,Examination,None
VIXKRD2,Keratometric measure. Dioptric power in the meridian of the cornea with the greatest power in the examinee's right eye (median of three measures).,VIX_E,Vision,2007,2008,Examination,None
VIXKRDM,Keratometric measure. Dioptric power of the cornea averaged across meridians in the examinee's right eye.,VIX_E,Vision,2007,2008,Examination,None
VIXKRG1,Keratometric measure. Axis of corneal astigmatism (in degrees) in the least power meridian of the examinee's right eye.,VIX_E,Vision,2007,2008,Examination,None
VIXKRG2,Keratometric measure.  Axis of corneal astigmatism (in degrees) in the greatest power meridian of the examinee's right eye.,VIX_E,Vision,2007,2008,Examination,None
VIXKRM1,Keratometric measure. Radius of corneal curvature (in mm) in the least power meridian of the examinee's right eye (median of three measures).,VIX_E,Vision,2007,2008,Examination,None
VIXKRM2,Keratometric measure. Radius of corneal curvature (in mm) in the greatest power meridian of the examinee's right eye (median of three measures).,VIX_E,Vision,2007,2008,Examination,None
